,bfs,bts,graph,faiss
XP_018229441.1,NP_596576.1,NP_596576.1,NP_596576.1,NP_596576.1
XP_018228031.1,NP_594985.1,NP_594985.1,NP_594985.1,NP_594985.1
XP_018230205.1,NP_596300.1,NP_596300.1,NP_596300.1,NP_596300.1
XP_018228546.1,NP_594550.1,NP_594550.1,NP_594550.1,NP_594550.1
XP_018228757.1,NP_593414.2,NP_593414.2,NP_593414.2,NP_593414.2
XP_018231106.1,NP_011309.1,NP_011309.1,NP_011309.1,NP_011309.1
XP_018230481.1,NP_596004.1,NP_596004.1,NP_596004.1,NP_596004.1
XP_018228051.1,CCG84023.1,CCG84023.1,CCG84023.1,CCG84023.1
XP_018230067.1,NP_587903.1,NP_587903.1,NP_587903.1,NP_587903.1
XP_018228033.1,NP_594737.1,NP_594737.1,NP_594737.1,NP_594737.1
XP_018228671.1,CCG80780.1,CCG80780.1,CCG80780.1,CCG80780.1
XP_018231075.1,NP_596174.1,NP_596174.1,NP_596174.1,NP_596174.1
XP_018227987.1,NP_593414.2,NP_593414.2,NP_593414.2,NP_593414.2
XP_018229730.1,NP_594681.1,NP_594681.1,NP_594681.1,NP_594681.1
XP_018231249.1,NP_013986.1,NP_013986.1,NP_013986.1,NP_013986.1
XP_018230380.1,NP_014971.1,NP_014971.1,NP_014971.1,NP_014971.1
XP_018228215.1,NP_009399.2,NP_009399.2,NP_009399.2,NP_009399.2
XP_018230201.1,NP_595991.2,NP_595991.2,NP_595991.2,NP_595991.2
XP_018228464.1,NP_009655.2,NP_009655.2,NP_009655.2,NP_009655.2
XP_018230737.1,NP_015510.1,NP_015510.1,NP_015510.1,NP_015510.1
XP_018231231.1,NP_592909.1,NP_592909.1,NP_592909.1,NP_592909.1
XP_018231509.1,NP_593217.1,NP_593217.1,NP_593217.1,NP_593217.1
XP_018229188.1,NP_595281.1,NP_595281.1,NP_595281.1,NP_595281.1
XP_018229883.1,NP_001018270.2,NP_001018270.2,NP_001018270.2,NP_001018270.2
XP_018230448.1,NP_014311.3,NP_014311.3,NP_014311.3,NP_014311.3
XP_018228170.1,NP_596804.1,NP_596804.1,NP_596804.1,NP_596804.1
XP_018230990.1,NP_596613.1,NP_596613.1,NP_596613.1,NP_596613.1
XP_018229316.1,NP_592986.1,NP_592986.1,NP_592986.1,NP_592986.1
XP_018228542.1,NP_596499.2,NP_596499.2,NP_596499.2,NP_596499.2
XP_018230988.1,NP_596645.1,NP_596645.1,NP_596645.1,NP_596645.1
XP_018228855.1,CCG84373.1,CCG84373.1,CCG84373.1,CCG84373.1
XP_018229288.1,NP_595385.1,NP_595385.1,NP_595385.1,NP_595385.1
XP_018230242.1,NP_593534.2,NP_593534.2,NP_593534.2,NP_593534.2
XP_018230888.1,NP_001342781.1,NP_001342781.1,NP_001342781.1,NP_001342781.1
XP_018228241.1,NP_595441.1,NP_595441.1,NP_595441.1,NP_595441.1
XP_018229060.1,NP_595506.1,NP_595506.1,NP_595506.1,NP_595506.1
XP_018230217.1,NP_594186.1,NP_594186.1,NP_594186.1,NP_594186.1
XP_018230333.1,NP_588351.1,NP_588351.1,NP_588351.1,NP_588351.1
XP_018229561.1,NP_001342916.1,NP_001342916.1,NP_001342916.1,NP_001342916.1
XP_018229636.1,NP_011091.1,NP_011091.1,NP_011091.1,NP_011091.1
XP_018230180.1,NP_595055.1,NP_595055.1,NP_595055.1,NP_595055.1
XP_018229055.1,NP_594487.2,NP_594487.2,NP_594487.2,NP_594487.2
XP_018228955.1,NP_594602.1,NP_594602.1,NP_594602.1,NP_594602.1
XP_018231051.1,NP_593296.1,NP_593296.1,NP_593296.1,NP_593296.1
XP_018230549.1,CCG83306.1,CCG83306.1,CCG83306.1,CCG83306.1
XP_018228953.1,NP_595925.1,NP_595925.1,NP_595925.1,NP_595925.1
XP_018229653.1,NP_596127.1,NP_596127.1,NP_596127.1,NP_596127.1
XP_018228342.1,CCG83250.1,CCG83250.1,CCG83250.1,CCG83250.1
XP_018230503.1,NP_596012.2,NP_596012.2,NP_596012.2,NP_596012.2
XP_018228062.1,NP_588487.1,NP_588487.1,NP_588487.1,NP_588487.1
XP_018228080.1,NP_595392.1,NP_595392.1,NP_595392.1,NP_595392.1
XP_018230641.1,NP_593860.1,NP_593860.1,NP_593860.1,NP_593860.1
XP_018228111.1,NP_593910.2,NP_593910.2,NP_593910.2,NP_593910.2
XP_018231342.1,NP_593482.1,NP_593482.1,NP_593482.1,NP_593482.1
XP_018228262.1,NP_592849.1,NP_592849.1,NP_592849.1,NP_592849.1
XP_018230368.1,NP_594115.1,NP_594115.1,NP_594115.1,NP_594115.1
XP_018230295.1,NP_594824.1,NP_594824.1,NP_594824.1,NP_594824.1
XP_018229472.1,NP_587866.3,NP_587866.3,NP_587866.3,NP_587866.3
XP_018230701.1,NP_594084.1,NP_594084.1,NP_594084.1,NP_594084.1
XP_018230339.1,NP_593370.1,NP_593370.1,NP_593370.1,NP_593370.1
XP_018229988.1,NP_012140.1,NP_012140.1,NP_012140.1,NP_012140.1
XP_018228615.1,NP_595602.1,NP_595602.1,NP_595602.1,NP_595602.1
XP_018228115.1,NP_012713.1,NP_012713.1,NP_012713.1,NP_012713.1
XP_018228695.1,NP_596486.1,NP_596486.1,NP_596486.1,NP_596486.1
XP_018229736.1,NP_596466.1,NP_596466.1,NP_596466.1,NP_596466.1
XP_018229986.1,NP_587882.1,NP_587882.1,NP_587882.1,NP_587882.1
XP_018228134.1,NP_001342781.1,NP_001342781.1,NP_001342781.1,NP_001342781.1
XP_018230246.1,NP_596021.1,NP_596021.1,NP_596021.1,NP_596021.1
XP_018229676.1,NP_594543.1,NP_594543.1,NP_594543.1,NP_594543.1
XP_018228859.1,NP_596733.1,NP_596733.1,NP_596733.1,NP_596733.1
XP_018229042.1,NP_588116.1,NP_588116.1,NP_588116.1,NP_588116.1
XP_018227988.1,NP_593082.1,NP_593082.1,NP_593082.1,NP_593082.1
XP_018228620.1,NP_595582.1,NP_595582.1,NP_595582.1,NP_595582.1
XP_018229662.1,NP_596123.1,NP_596123.1,NP_596123.1,NP_596123.1
XP_018230056.1,NP_593260.1,NP_593260.1,NP_593260.1,NP_593260.1
XP_018231302.1,NP_595335.1,NP_595335.1,NP_595335.1,NP_595335.1
XP_018230521.1,NP_588106.2,NP_588106.2,NP_588106.2,NP_588106.2
XP_018231121.1,CCG80857.1,CCG80857.1,CCG80857.1,CCG80857.1
XP_018229162.1,NP_594951.2,NP_594951.2,NP_594951.2,NP_594951.2
XP_018230681.1,NP_593915.1,NP_593915.1,NP_593915.1,NP_593915.1
XP_018230190.1,NP_588095.1,NP_588095.1,NP_588095.1,NP_588095.1
XP_018229839.1,NP_001018242.1,NP_001018242.1,NP_001018242.1,NP_001018242.1
XP_018230779.1,NP_010413.3,NP_010413.3,NP_010413.3,NP_010413.3
XP_018231382.1,NP_596340.1,NP_596340.1,NP_596340.1,NP_596340.1
XP_018229186.1,NP_595279.1,NP_595279.1,NP_595279.1,NP_595279.1
XP_018228048.1,NP_594102.1,NP_594102.1,NP_594102.1,NP_594102.1
XP_018228139.1,NP_588344.1,NP_588344.1,NP_588344.1,NP_588344.1
XP_018229035.1,NP_593535.1,NP_593535.1,NP_593535.1,NP_593535.1
XP_018230569.1,NP_593890.1,NP_593890.1,NP_593890.1,NP_593890.1
XP_018230807.1,NP_593101.2,NP_593101.2,NP_593101.2,NP_593101.2
XP_018231518.1,NP_592998.1,NP_592998.1,NP_592998.1,NP_592998.1
XP_018228075.1,NP_015151.1,NP_015151.1,NP_015151.1,NP_015151.1
XP_018227921.1,CCG81011.1,CCG81011.1,CCG81011.1,CCG81011.1
XP_018228641.1,NP_593899.1,NP_593899.1,NP_593899.1,NP_593899.1
XP_018228659.1,NP_594202.2,NP_594202.2,NP_594202.2,NP_594202.2
XP_018229126.1,NP_593520.1,NP_593520.1,NP_593520.1,NP_593520.1
XP_018229919.1,NP_593260.1,NP_593260.1,NP_593260.1,NP_593260.1
XP_018230416.1,CCG81469.1,CCG81469.1,CCG81469.1,CCG81469.1
XP_018231187.1,NP_594459.2,NP_594459.2,NP_594459.2,NP_594459.2
XP_018228601.1,NP_014770.1,NP_014770.1,NP_014770.1,NP_014770.1
XP_018228227.1,NP_593331.2,NP_593331.2,NP_593331.2,NP_593331.2
XP_018228557.1,CCG84080.1,CCG84080.1,CCG84080.1,CCG84080.1
XP_018229394.1,NP_001342843.1,NP_001342843.1,NP_001342843.1,NP_001342843.1
XP_018230485.1,NP_595890.2,NP_595890.2,NP_595890.2,NP_595890.2
XP_018228540.1,NP_595381.3,NP_595381.3,NP_595381.3,NP_595381.3
XP_018229953.1,NP_588188.1,NP_588188.1,NP_588188.1,NP_588188.1
XP_018231151.1,NP_015313.1,NP_015313.1,NP_015313.1,NP_015313.1
XP_018231082.1,NP_593565.1,NP_593565.1,NP_593565.1,NP_593565.1
XP_018230493.1,NP_012793.2,NP_012793.2,NP_012793.2,NP_012793.2
XP_018229568.1,NP_116687.1,NP_116687.1,NP_116687.1,NP_116687.1
XP_018230487.1,NP_592937.2,NP_592937.2,NP_592937.2,NP_592937.2
XP_018229598.1,NP_014850.1,NP_014850.1,NP_014850.1,NP_014850.1
XP_018229687.1,NP_015335.1,NP_015335.1,NP_015335.1,NP_015335.1
XP_018229054.1,NP_594486.1,NP_594486.1,NP_594486.1,NP_594486.1
XP_018230041.1,NP_596329.1,NP_596329.1,NP_596329.1,NP_596329.1
XP_018228495.1,NP_015215.1,NP_015215.1,NP_015215.1,NP_015215.1
XP_018231193.1,NP_593253.1,NP_593253.1,NP_593253.1,NP_593253.1
XP_018229372.1,NP_593213.1,NP_593213.1,NP_593213.1,NP_593213.1
XP_018229951.1,NP_013945.1,NP_013945.1,NP_013945.1,NP_013945.1
XP_018230867.1,NP_595102.2,NP_595102.2,NP_595102.2,NP_595102.2
XP_018229387.1,NP_594649.2,NP_594649.2,NP_594649.2,NP_594649.2
XP_018230989.1,NP_596393.2,NP_596393.2,NP_596393.2,NP_596393.2
XP_018228295.1,NP_009445.2,NP_009445.2,NP_009445.2,NP_009445.2
XP_018230938.1,NP_587991.1,NP_587991.1,NP_587991.1,NP_587991.1
XP_018230717.1,NP_594524.1,NP_594524.1,NP_594524.1,NP_594524.1
XP_018227927.1,NP_011384.1,NP_011384.1,NP_011384.1,NP_011384.1
XP_018231101.1,NP_594152.2,NP_594152.2,NP_594152.2,NP_594152.2
XP_018230801.1,NP_001342968.1,NP_001342968.1,NP_001342968.1,NP_001342968.1
XP_018230036.1,NP_587906.1,NP_587906.1,NP_587906.1,NP_587906.1
XP_018231089.1,NP_588211.1,NP_588211.1,NP_588211.1,NP_588211.1
XP_018231377.1,CCG84890.1,CCG84890.1,CCG84890.1,CCG84890.1
XP_018231204.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018231346.1,NP_588210.1,NP_588210.1,NP_588210.1,NP_588210.1
XP_018229229.1,NP_594152.2,NP_594152.2,NP_594152.2,NP_594152.2
XP_018228417.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228587.1,CCG83005.1,CCG83005.1,CCG83005.1,CCG83005.1
XP_018230716.1,NP_009490.1,NP_009490.1,NP_009490.1,NP_009490.1
XP_018227864.1,NP_013236.1,NP_013236.1,NP_013236.1,NP_013236.1
XP_018230142.1,NP_588145.2,NP_588145.2,NP_588145.2,NP_588145.2
XP_018229153.1,NP_594756.1,NP_594756.1,NP_594756.1,NP_594756.1
XP_018230403.1,NP_594620.1,NP_594620.1,NP_594620.1,NP_594620.1
XP_018229147.1,NP_588502.1,NP_588502.1,NP_588502.1,NP_588502.1
XP_018228496.1,NP_588419.1,NP_588419.1,NP_588419.1,NP_588419.1
XP_018230035.1,NP_596323.1,NP_596323.1,NP_596323.1,NP_596323.1
XP_018228275.1,NP_593580.1,NP_593580.1,NP_593580.1,NP_593580.1
XP_018229700.1,NP_593092.1,NP_593092.1,NP_593092.1,NP_593092.1
XP_018229511.1,NP_594882.1,NP_594882.1,NP_594882.1,NP_594882.1
XP_018231526.1,NP_593035.1,NP_593035.1,NP_593035.1,NP_593035.1
XP_018229661.1,NP_596124.1,NP_596124.1,NP_596124.1,NP_596124.1
XP_018229957.1,NP_593441.1,NP_593441.1,NP_593441.1,NP_593441.1
XP_018227913.1,NP_593966.1,NP_593966.1,NP_593966.1,NP_593966.1
XP_018228538.1,NP_593053.2,NP_593053.2,NP_593053.2,NP_593053.2
XP_018230732.1,NP_595842.1,NP_595842.1,NP_595842.1,NP_595842.1
XP_018227998.1,NP_596081.1,NP_596081.1,NP_596081.1,NP_596081.1
XP_018230658.1,NP_001342911.1,NP_001342911.1,NP_001342911.1,NP_001342911.1
XP_018230751.1,NP_594907.2,NP_594907.2,NP_594907.2,NP_594907.2
XP_018231516.1,NP_593218.1,NP_593218.1,NP_593218.1,NP_593218.1
XP_018229291.1,NP_009378.1,NP_009378.1,NP_009378.1,NP_009378.1
XP_018230913.1,NP_593966.1,NP_593966.1,NP_593966.1,NP_593966.1
XP_018228761.1,NP_588025.2,NP_588025.2,NP_588025.2,NP_588025.2
XP_018231442.1,NP_001417961.1,NP_001417961.1,NP_001417961.1,NP_001417961.1
XP_018227850.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228916.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228923.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229157.1,NP_593971.1,NP_593971.1,NP_593971.1,NP_593971.1
XP_018228032.1,NP_593720.1,NP_593720.1,NP_593720.1,NP_593720.1
XP_018230600.1,NP_596729.1,NP_596729.1,NP_596729.1,NP_596729.1
XP_018228270.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229813.1,NP_592869.1,NP_592869.1,NP_592869.1,NP_592869.1
XP_018228017.1,NP_010325.1,NP_010325.1,NP_010325.1,NP_010325.1
XP_018230528.1,NP_595358.1,NP_595358.1,NP_595358.1,NP_595358.1
XP_018228581.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229306.1,NP_014948.1,NP_014948.1,NP_014948.1,NP_014948.1
XP_018228015.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018230382.1,NP_588432.1,NP_588432.1,NP_588432.1,NP_588432.1
XP_018228510.1,NP_594568.1,NP_594568.1,NP_594568.1,NP_594568.1
XP_018228738.1,NP_595686.2,NP_595686.2,NP_595686.2,NP_595686.2
XP_018230386.1,NP_001342752.1,NP_001342752.1,NP_001342752.1,NP_001342752.1
XP_018230486.1,NP_009706.3,NP_009706.3,NP_009706.3,NP_009706.3
XP_018227839.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227878.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228812.1,NP_013267.1,NP_013267.1,NP_013267.1,NP_013267.1
XP_018229141.1,NP_593609.1,NP_593609.1,NP_593609.1,NP_593609.1
XP_018229235.1,NP_009421.3,NP_009421.3,NP_009421.3,NP_009421.3
XP_018229376.1,NP_594069.2,NP_594069.2,NP_594069.2,NP_594069.2
XP_018230633.1,NP_013555.1,NP_013555.1,NP_013555.1,NP_013555.1
XP_018229519.1,NP_593099.1,NP_593099.1,NP_593099.1,NP_593099.1
XP_018227851.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018230919.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228228.1,NP_593326.1,NP_593326.1,NP_593326.1,NP_593326.1
XP_018227861.1,NP_596095.1,NP_596095.1,NP_596095.1,NP_596095.1
XP_018228577.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229768.1,NP_593191.1,NP_593191.1,NP_593191.1,NP_593191.1
XP_018230654.1,NP_012485.1,NP_012485.1,NP_012485.1,NP_012485.1
XP_018227815.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018229864.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018231115.1,NP_587812.1,NP_587812.1,NP_587812.1,NP_587812.1
XP_018230097.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227841.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228223.1,NP_595435.1,NP_595435.1,NP_595435.1,NP_595435.1
XP_018231104.1,NP_594153.1,NP_594153.1,NP_594153.1,NP_594153.1
XP_018227984.1,CCG84524.1,CCG84524.1,CCG84524.1,CCG84524.1
XP_018229271.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018230094.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018230534.1,NP_012569.1,NP_012569.1,NP_012569.1,NP_012569.1
XP_018227811.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228246.1,NP_593325.1,NP_593325.1,NP_593325.1,NP_593325.1
XP_018227817.1,NP_012734.1,NP_012734.1,NP_012734.1,NP_012734.1
XP_018227813.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228753.1,NP_012734.1,NP_012734.1,NP_012734.1,NP_012734.1
XP_018228755.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227828.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018230100.1,NP_012734.1,NP_012734.1,NP_012734.1,NP_012734.1
XP_018231511.1,NP_596369.1,NP_596369.1,NP_596369.1,NP_596369.1
XP_018227804.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228754.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018229125.1,NP_596159.1,NP_596159.1,NP_596159.1,NP_596159.1
XP_018229868.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018230828.1,NP_595311.1,NP_595311.1,NP_595311.1,NP_595311.1
XP_018227845.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228717.1,NP_594619.1,NP_594619.1,NP_594619.1,NP_594619.1
XP_018229945.1,NP_588149.1,NP_588149.1,NP_588149.1,NP_588149.1
XP_018230102.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227782.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227848.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227777.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227778.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227784.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227816.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227837.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227818.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227849.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228767.1,NP_587766.1,NP_587766.1,NP_587766.1,NP_587766.1
XP_018229231.1,NP_595772.1,NP_595772.1,NP_595772.1,NP_595772.1
XP_018228578.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228921.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018231147.1,CCG83103.1,CCG83103.1,CCG83103.1,CCG83103.1
XP_018229021.1,NP_588185.1,NP_588185.1,NP_588185.1,NP_588185.1
XP_018229761.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229869.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227819.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227807.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227822.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018229656.1,NP_001343016.1,NP_001343016.1,NP_001343016.1,NP_001343016.1
XP_018227820.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227881.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018229691.1,NP_595813.2,NP_595813.2,NP_595813.2,NP_595813.2
XP_018230098.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018230923.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227796.1,NP_012734.1,NP_012734.1,NP_012734.1,NP_012734.1
XP_018228470.1,NP_593064.1,NP_593064.1,NP_593064.1,NP_593064.1
XP_018231420.1,NP_001342793.1,NP_001342793.1,NP_001342793.1,NP_001342793.1
XP_018227812.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227827.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018228154.1,NP_594352.1,NP_594352.1,NP_594352.1,NP_594352.1
XP_018230099.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018230928.1,NP_593419.1,NP_593419.1,NP_593419.1,NP_593419.1
XP_018227808.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227831.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227863.1,NP_595473.1,NP_595473.1,NP_595473.1,NP_595473.1
XP_018228308.1,NP_596164.1,NP_596164.1,NP_596164.1,NP_596164.1
XP_018228579.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229477.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018230721.1,NP_011946.1,NP_011946.1,NP_011946.1,NP_011946.1
XP_018227809.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018227838.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227844.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018230920.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227991.1,NP_593081.2,NP_593081.2,NP_593081.2,NP_593081.2
XP_018228105.1,NP_010041.2,NP_010041.2,NP_010041.2,NP_010041.2
XP_018230611.1,NP_010513.1,NP_010513.1,NP_010513.1,NP_010513.1
XP_018227832.1,NP_012734.1,NP_012734.1,NP_593571.1,NP_012734.1
XP_018230191.1,NP_588103.1,NP_588103.1,NP_588103.1,NP_588103.1
XP_018227786.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229476.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227797.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018230208.1,NP_014691.1,NP_014691.1,NP_014691.1,NP_014691.1
XP_018230985.1,NP_001342779.1,NP_001342779.1,NP_001342779.1,NP_001342779.1
XP_018227774.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228920.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_018229766.1,NP_596381.1,NP_596381.1,NP_596381.1,NP_596381.1
XP_018227826.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227879.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229862.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227843.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228451.1,NP_596721.1,NP_596721.1,NP_596721.1,NP_596721.1
XP_018230927.1,NP_593419.1,NP_593419.1,NP_593419.1,NP_593419.1
XP_018227810.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018227814.1,NP_012734.1,NP_012734.1,NP_012734.1,NP_012734.1
XP_018227821.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018228419.1,NP_593571.1,NP_593571.1,NP_593571.1,NP_593571.1
XP_018229268.1,NP_012734.1,NP_012734.1,NP_012734.1,NP_012734.1
XP_018229421.1,NP_596526.1,NP_596526.1,NP_596526.1,NP_596526.1
XP_018230845.1,NP_595299.2,NP_595299.2,NP_595299.2,NP_595299.2
