,bfs,bts,graph,faiss
XP_007874884.1,CCG81108.1,CCG81108.1,CCG81108.1,CCG81108.1
XP_007871852.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872459.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007875251.1,CCG82033.1,CCG82033.1,CCG82033.1,CCG82033.1
XP_007872740.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873597.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007873819.1,CCG82467.1,CCG82467.1,CCG82467.1,CCG82467.1
XP_007874224.1,CCG84269.1,CCG84269.1,CCG84269.1,CCG84269.1
XP_007874346.1,CCG84421.1,CCG84421.1,CCG84421.1,CCG84421.1
XP_007873020.1,CCG82467.1,CCG82467.1,CCG82467.1,CCG82467.1
XP_007874054.1,CCG82267.1,CCG82267.1,CCG82267.1,CCG82267.1
XP_007873859.1,CCG80996.1,CCG80996.1,CCG80996.1,CCG80996.1
XP_007875408.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007875544.1,CCG82467.1,CCG82467.1,CCG82467.1,CCG82467.1
XP_007872132.1,CCG84041.1,CCG84041.1,CCG84041.1,CCG84041.1
XP_007873104.1,CCG82732.1,CCG82732.1,CCG82732.1,CCG82732.1
XP_007873186.1,CCG81520.1,CCG81520.1,CCG81520.1,CCG81520.1
XP_007872303.1,CCG84352.1,CCG84352.1,CCG84352.1,CCG84352.1
XP_007872888.1,CCG81487.1,CCG81487.1,CCG81487.1,CCG81487.1
XP_007874464.1,CCG81891.1,CCG81891.1,CCG81891.1,CCG81891.1
XP_007872229.1,CCG81978.1,CCG81978.1,CCG81978.1,CCG81978.1
XP_007873844.1,CCG82263.1,CCG82263.1,CCG82263.1,CCG82263.1
XP_007874671.1,CCG80850.1,CCG80850.1,CCG80850.1,CCG80850.1
XP_007875240.1,CCG82024.1,CCG82024.1,CCG82024.1,CCG82024.1
XP_007873994.1,CCG81954.1,CCG81954.1,CCG81954.1,CCG81954.1
XP_007874002.1,CCG83009.1,CCG83009.1,CCG83009.1,CCG83009.1
XP_007874443.1,CCG82362.1,CCG82362.1,CCG82362.1,CCG82362.1
XP_007872610.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007873312.1,CCG83314.1,CCG83314.1,CCG83314.1,CCG83314.1
XP_019613341.1,CCG84382.1,CCG84382.1,CCG84382.1,CCG84382.1
XP_007871935.1,CCG84347.1,CCG84347.1,CCG84347.1,CCG84347.1
XP_007873196.1,CCG81502.1,CCG81502.1,CCG81502.1,CCG81502.1
XP_007871921.1,CCG84524.1,CCG84524.1,CCG84524.1,CCG84524.1
XP_007872614.1,CCG81161.1,CCG81161.1,CCG81161.1,CCG81161.1
XP_019613305.1,CCG82467.1,CCG82467.1,CCG82467.1,CCG82467.1
XP_007872108.1,CCG80674.1,CCG80674.1,CCG80674.1,CCG80674.1
XP_007873733.1,CCG81703.1,CCG81703.1,CCG81703.1,CCG81703.1
XP_007872877.1,CCG82760.1,CCG82760.1,CCG82760.1,CCG82760.1
XP_007872986.1,CCG82087.1,CCG82087.1,CCG82087.1,CCG82087.1
XP_007874044.1,CCG80984.1,CCG80984.1,CCG80984.1,CCG80984.1
XP_007872367.1,CCG84322.1,CCG84322.1,CCG84322.1,CCG84322.1
XP_007875449.1,CCG81997.1,CCG81997.1,CCG81997.1,CCG81997.1
XP_007873468.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007875004.1,CCG81966.1,CCG81966.1,CCG81966.1,CCG81966.1
XP_007875453.1,CCG83091.1,CCG83091.1,CCG83091.1,CCG83091.1
XP_007875010.1,CCG82576.1,CCG82576.1,CCG82576.1,CCG82576.1
XP_007872182.1,CCG84389.1,CCG84389.1,CCG84389.1,CCG84389.1
XP_007875572.1,CCG84523.1,CCG84523.1,CCG84523.1,CCG84523.1
XP_007874399.1,CCG84652.1,CCG84652.1,CCG84652.1,CCG84652.1
XP_007874313.1,CCX35447.1,CCX35447.1,CCX35447.1,CCX35447.1
XP_007874205.1,CCG82102.1,CCG82102.1,CCG82102.1,CCG82102.1
XP_007874990.1,CCG82668.1,CCG82668.1,CCG82668.1,CCG82668.1
XP_007874681.1,CCG85184.1,CCG85184.1,CCG85184.1,CCG85184.1
XP_007871929.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007872669.1,CCG80814.1,CCG80814.1,CCG80814.1,CCG80814.1
XP_007874159.1,CCG83515.1,CCG83515.1,CCG83515.1,CCG83515.1
XP_007872299.1,CCG84421.1,CCG84421.1,CCG84421.1,CCG84421.1
XP_007871989.1,CCG83529.1,CCG83529.1,CCG83529.1,CCG83529.1
XP_007872947.1,CCG83851.2,CCG83851.2,CCG83851.2,CCG83851.2
XP_007873585.1,CCG81046.1,CCG81046.1,CCG81046.1,CCG81046.1
XP_019613293.1,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872398.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007873004.1,CCG82467.1,CCG82467.1,CCG82467.1,CCG82467.1
XP_007874890.1,CCG81111.1,CCG81111.1,CCG81111.1,CCG81111.1
XP_007874706.1,CCG83103.1,CCG83103.1,CCG83103.1,CCG83103.1
XP_007872587.1,CCG83916.1,CCG83916.1,CCG83916.1,CCG83916.1
XP_007875681.1,CCG82799.1,CCG82799.1,CCG82799.1,CCG82799.1
XP_007875057.1,CCG83316.1,CCG83316.1,CCG83316.1,CCG83316.1
XP_007875410.2,CCG82957.1,CCG82957.1,CCG82957.1,CCG82957.1
XP_007872321.1,CCG81019.1,CCG81019.1,CCG81019.1,CCG81019.1
XP_007873126.1,CCG80984.1,CCG80984.1,CCG80984.1,CCG80984.1
XP_007874003.1,CCG84557.1,CCG84557.1,CCG84557.1,CCG84557.1
XP_007871973.1,CCG81703.1,CCG81703.1,CCG81703.1,CCG81703.1
XP_007875497.1,CCG81195.1,CCG81195.1,CCG81195.1,CCG81195.1
XP_007872987.1,CCG83475.1,CCG83475.1,CCG83475.1,CCG83475.1
XP_007875517.1,CCG84080.1,CCG84080.1,CCG84080.1,CCG84080.1
XP_007873355.1,CCG83470.1,CCG83470.1,CCG83470.1,CCG83470.1
XP_007875399.1,CCG80882.1,CCG80882.1,CCG80882.1,CCG80882.1
XP_019613402.1,CCG83171.1,CCG83171.1,CCG83171.1,CCG83171.1
XP_007875488.1,CCG82871.1,CCG82871.1,CCG82871.1,CCG82871.1
XP_007875629.1,CCG80577.1,CCG80577.1,CCG80577.1,CCG80577.1
XP_007872161.1,CCG82344.1,CCG82344.1,CCG82344.1,CCG82344.1
XP_007872571.1,CCG82281.1,CCG82281.1,CCG82281.1,CCG82281.1
XP_007874572.1,CCG81606.1,CCG81606.1,CCG81606.1,CCG81606.1
XP_007874107.1,CCG82269.1,CCG82269.1,CCG82269.1,CCG82269.1
XP_007872069.1,CCG84340.1,CCG84340.1,CCG84340.1,CCG84340.1
XP_007872860.1,CCG84120.1,CCG84120.1,CCG84120.1,CCG84120.1
XP_007874966.1,CCG82344.1,CCG82344.1,CCG82344.1,CCG82344.1
XP_007873737.1,CCG82014.1,CCG82014.1,CCG82014.1,CCG82014.1
XP_007874386.1,CCG84974.1,CCG84974.1,CCG84974.1,CCG84974.1
XP_007875377.1,CCG81027.1,CCG81027.1,CCG81027.1,CCG81027.1
XP_007872307.1,CCG81924.1,CCG81924.1,CCG81924.1,CCG81924.1
XP_007873369.1,CCG83957.1,CCG83957.1,CCG83957.1,CCG83957.1
XP_007873237.1,CCG81447.1,CCG81447.1,CCG81447.1,CCG81447.1
XP_007875015.1,CCG80850.1,CCG80850.1,CCG80850.1,CCG80850.1
XP_007875451.1,CCG82954.1,CCG82954.1,CCG82954.1,CCG82954.1
XP_007875547.1,CCG81616.1,CCG81616.1,CCG81616.1,CCG81616.1
XP_007872865.1,CCG84535.1,CCG84535.1,CCG84535.1,CCG84535.1
XP_007874177.1,CCG80728.1,CCG80728.1,CCG80728.1,CCG80728.1
XP_007874390.2,CCG83812.1,CCG83812.1,CCG83812.1,CCG83812.1
XP_019613328.1,CCG82344.1,CCG82344.1,CCG82344.1,CCG82344.1
XP_007874709.1,CCG83102.1,CCG83102.1,CCG83102.1,CCG83102.1
XP_007872286.1,CCG83786.1,CCG83786.1,CCG83786.1,CCG83786.1
XP_007873968.1,CCG80943.2,CCG80943.2,CCG80943.2,CCG80943.2
XP_007872646.1,CCG82954.1,CCG82954.1,CCG82954.1,CCG82954.1
XP_007874743.1,CCG80597.1,CCG80597.1,CCG80597.1,CCG80597.1
